ocel:eid,ocel:activity,ocel:timestamp,ocel:event_type,ocel:event_class,ocel:attr:stream:id,ocel:attr:stream:source,ocel:attr:stream:value,ocel:attr:concept:name,ocel:type:case_object
13681ec6-ff9e-4372-9a2e-50434aaf0052,Donor check-in,2024-09-12 10:51:22.745000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,Start,s2s1,['trace_deb619e7']
9cd04f90-9a51-468d-93c6-d803ba755f45,Donor check-in,2024-09-12 10:51:25.428000+01:00,Donor check-in,iot_event,Donor check-in,Patient Left,End,s2s1,['trace_deb619e7']
73547f1b-4175-4d60-8956-524bc9a9e749,HCW check-in,2024-09-12 10:51:29.971000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,Start,s2s1,['trace_deb619e7']
31bf2604-a7c4-4beb-bdc9-bdfc14151024,HCW check-in,2024-09-12 10:51:34.302000+01:00,HCW check-in,iot_event,HCW check-in,Patient Left,End,s2s1,['trace_deb619e7']
f622ea6e-b480-48b9-8091-5be5d1b39766,Hand hygiene,2024-09-12 10:51:35.331000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,Start,s2s1,['trace_deb619e7']
d63a7dd9-5479-4c5b-b8bf-528cac470277,Hand hygiene,2024-09-12 10:51:52.757000+01:00,Hand hygiene,iot_event,Hand hygiene,Patient Left,End,s2s1,['trace_deb619e7']
d79bf584-9081-495c-81e2-af574768e513,Check blood drawing machine,2024-09-12 10:51:53.663000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,Start,s2s1,['trace_deb619e7']
7d3e5758-a959-4630-9f8b-71bc5a4ed65b,Check blood drawing machine,2024-09-12 10:51:57.974000+01:00,Check blood drawing machine,iot_event,Check blood drawing machine,Patient Left,End,s2s1,['trace_deb619e7']
5b8d0608-cd66-4830-a0a7-224fa33e6323,Apply tourniquet,2024-09-12 10:52:01.295000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,Start,s2s1,['trace_deb619e7']
24700401-f57b-4601-ae82-949082726cea,Apply tourniquet,2024-09-12 10:52:08.956000+01:00,Apply tourniquet,iot_event,Apply tourniquet,Patient Left,End,s2s1,['trace_deb619e7']
f6ec6437-9de2-4cd4-9fc2-dc74b0091e4f,Hand hygiene and wear gloves,2024-09-12 10:52:11.446000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,Start,s2s1,['trace_deb619e7']
c251a5e6-4993-45d9-ac50-099fd089dbe1,Hand hygiene and wear gloves,2024-09-12 10:52:58.850000+01:00,Hand hygiene and wear gloves,iot_event,Hand hygiene and wear gloves,Patient Left,End,s2s1,['trace_deb619e7']
